q21notreat_01_c1.tif_nhood_5,0.00107521655798,472.942830524,0.125678786272,-0.00107302078074,220.504583859,220.549225265,728.951452926,732.541970503,0.101157292482,1.47430066635e-05,51361.0662654,446.693983642,-0.0106525794651,-3.16376555437e-07,472.942830524,-136976.293593,54352645.6604
q21notreat_01_c1.tif_nhood_10,0.000893538512188,568.805747839,0.109838191932,-0.000892241263463,219.497049903,219.575157678,716.80512366,725.549250186,0.107622178487,1.46448706991e-05,51194.7224271,447.074869055,-0.0104948677315,-2.21504092698e-07,568.805747839,-74580.1823479,37442068.7608
q21notreat_01_c1.tif_nhood_20,0.000826637535415,685.170464051,0.0992818826124,-0.000825615256878,218.927120313,219.027609459,705.82540761,726.986790089,0.111845044767,1.45504488851e-05,51216.222658,450.483675582,-0.0108963564541,-1.3049912662e-07,685.170464051,-23382.7591594,25120996.8709
q21notreat_02_c1.tif_nhood_5,0.00401431360164,212.782887667,0.227051544974,-0.00397096553663,223.618963044,223.50408946,534.162350482,540.518167542,0.157236584818,1.46406783217e-05,52939.3521376,442.342550168,-0.0144020381237,-2.75003960648e-08,212.782887667,-4519.27314949,13618949.6577
q21notreat_02_c1.tif_nhood_10,0.00333327022534,295.840032038,0.193246087904,-0.00330072410846,223.029559452,222.758168897,534.724905811,548.468533518,0.120114088455,1.45550959924e-05,52940.8396723,442.797707093,-0.0141638638582,-1.18989267057e-08,295.840032038,21129.3374033,10308064.8199
q21notreat_02_c1.tif_nhood_20,0.00276150260075,411.810847611,0.164504237859,-0.0027382436654,221.477762,220.875211339,572.427208527,597.414827071,0.0396530130899,1.43927068718e-05,52769.7769671,442.59442358,-0.0139447728767,-2.49378968294e-09,411.810847611,57231.910644,7904891.58351
q21notreat_03_c1.tif_nhood_5,0.00513887680114,112.458979209,0.240496505959,-0.00509870735575,232.141409885,232.017473395,246.641420477,252.915751326,0.777912722504,1.46742288687e-05,56604.8595859,457.171903157,-0.0219560898737,-1.09010210466e-09,112.458979209,13154.25697,2593672.19278
q21notreat_03_c1.tif_nhood_10,0.00433461055939,142.074195931,0.207823213811,-0.00430782376072,230.816181208,230.579484008,275.034047181,285.091679824,0.52256197152,1.45654992933e-05,56368.2927103,460.852089622,-0.023088965812,-1.89401609463e-10,142.074195931,24452.2734024,2163059.0706
q21notreat_03_c1.tif_nhood_20,0.00402198028416,169.280243973,0.188407955603,-0.00399945380161,230.075339195,229.692496419,297.86999885,311.567897702,0.338392569141,1.44946642841e-05,56275.4452098,464.021505887,-0.0241740867106,-1.7399033459e-10,169.280243973,31330.4698433,2097611.32386
q21notreat_04_c1.tif_nhood_5,0.00720379875881,121.595594347,0.268740226806,-0.0071279846963,231.085171808,231.070643758,302.221921931,303.230581585,0.604690257995,1.45970643152e-05,56416.6926122,453.602717993,-0.0240753557529,-2.19948506487e-09,121.595594347,12674.3791846,4452059.05678
